==== produits ====
Columns prod:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Columns local:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Sample prod (first 50 rows):

id_produit|titre|slug|reference|description|description_courte|prix|prix_promo|promo_debut|promo_fin|stock|stock_alerte|statut|marque|modele|poids|specifications|garantie|est_en_vedette|est_nouveau|vues|note_moyenne|nombre_avis|id_categorie|id_pays|id_utilisateur|date_creation|created_at|updated_at|deleted_at|en_promo|uuid
93|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 1|solutions-de-gestion-dentreprise-erp-crm-bi-et-workflows-adaptes-a-votre-activite-produit-1-3c9y|I7BZBP0M|Description de démonstration pour Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 1.|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 1 - disponibilité immédiate|641673.00||||26|5|disponible|Dell|Série 480|9.00|{"couleur":"gris","puissance":"116W","connectivite":"USB-C"}|2 an(s)|t|f|492|4.70|70|16|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|977d317b-029f-4316-af24-7b342c151f38
94|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 2|solutions-de-gestion-dentreprise-erp-crm-bi-et-workflows-adaptes-a-votre-activite-produit-2-attq|QB6VUDSJ|Description de démonstration pour Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 2.|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 2 - disponibilité immédiate|1157118.00|663231.00|||32|5|disponible|Lenovo|Série 532|2.00|{"couleur":"blanc","puissance":"68W","connectivite":"Wi-Fi"}|2 an(s)|f|t|289|4.20|21|16|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|16010510-9bd0-46bf-b46c-093f774fd652
95|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 3|solutions-de-gestion-dentreprise-erp-crm-bi-et-workflows-adaptes-a-votre-activite-produit-3-nkdq|HCDUIIOC|Description de démonstration pour Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 3.|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 3 - disponibilité immédiate|1091216.00||||19|5|disponible|Samsung|Série 947|5.00|{"couleur":"blanc","puissance":"77W","connectivite":"Ethernet"}|2 an(s)|f|t|387|4.90|13|16|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|12f4a58d-bbd1-4874-aea3-ca843983ae2f
96|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 4|solutions-de-gestion-dentreprise-erp-crm-bi-et-workflows-adaptes-a-votre-activite-produit-4-ts40|24OZPBYF|Description de démonstration pour Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 4.|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 4 - disponibilité immédiate|453830.00||||16|5|disponible|Brother|Série 341|11.00|{"couleur":"gris","puissance":"82W","connectivite":"Wi-Fi"}|1 an(s)|f|t|20|5.00|29|16|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|3094c22d-7c21-410d-9f68-058aad21aeac
97|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 5|solutions-de-gestion-dentreprise-erp-crm-bi-et-workflows-adaptes-a-votre-activite-produit-5-kuoz|4G27TXGJ|Description de démonstration pour Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 5.|Solutions de gestion d'entreprise ERP, CRM, BI et workflows adaptés à votre activité Produit 5 - disponibilité immédiate|789837.00|729527.00|||29|5|disponible|Lenovo|Série 672|7.00|{"couleur":"noir","puissance":"22W","connectivite":"Ethernet"}|2 an(s)|f|f|490|4.80|54|16|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|4d915ad4-8b8b-4363-b4e9-ffcba63214b5
98|Fourniture de drone et formation en pilotage de drones Produit 1|fourniture-de-drone-et-formation-en-pilotage-de-drones-produit-1-aayk|XFLUYZYV|Description de démonstration pour Fourniture de drone et formation en pilotage de drones Produit 1.|Fourniture de drone et formation en pilotage de drones Produit 1 - disponibilité immédiate|932238.00||||22|5|disponible|Dell|Série 797|6.00|{"couleur":"gris","puissance":"111W","connectivite":"Wi-Fi"}|2 an(s)|t|f|196|4.30|36|17|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|d61e3c46-7963-44ee-ab5f-9c7f78e6418d
793|kev|kev|kev|kev|kev|50.00|40.00|||1|5|disponible|kev|kev|1.00|{"overview":"kev","technical_specs":[{"label":"kev","value":null}]}|1|t|t|0|0.00|0|18|1||2026-03-25 12:24:42|2026-03-25 12:24:42|2026-03-25 12:24:42||t|0aca98ca-5979-4fc9-b708-66717a3fc52a
99|Fourniture de drone et formation en pilotage de drones Produit 2|fourniture-de-drone-et-formation-en-pilotage-de-drones-produit-2-oevt|JIXK7LGC|Description de démonstration pour Fourniture de drone et formation en pilotage de drones Produit 2.|Fourniture de drone et formation en pilotage de drones Produit 2 - disponibilité immédiate|167640.00||||47|5|disponible|DJI|Série 889|7.00|{"couleur":"gris","puissance":"27W","connectivite":"Wi-Fi"}|3 an(s)|f|t|15|4.60|57|17|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|613ad574-b375-4ad0-ac76-19d1fc8a0f48
100|Fourniture de drone et formation en pilotage de drones Produit 3|fourniture-de-drone-et-formation-en-pilotage-de-drones-produit-3-oum6|JWDDTMLQ|Description de démonstration pour Fourniture de drone et formation en pilotage de drones Produit 3.|Fourniture de drone et formation en pilotage de drones Produit 3 - disponibilité immédiate|485104.00||||16|5|disponible|HP|Série 671|8.00|{"couleur":"blanc","puissance":"108W","connectivite":"USB-C"}|2 an(s)|f|f|280|5.00|47|17|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|88413acf-0dbd-4fed-8afb-3b26cf5caea5
101|Fourniture de drone et formation en pilotage de drones Produit 4|fourniture-de-drone-et-formation-en-pilotage-de-drones-produit-4-3fvd|AYCIRPHF|Description de démonstration pour Fourniture de drone et formation en pilotage de drones Produit 4.|Fourniture de drone et formation en pilotage de drones Produit 4 - disponibilité immédiate|485204.00|94937.00|||23|5|disponible|Canon|Série 874|11.00|{"couleur":"blanc","puissance":"32W","connectivite":"Ethernet"}|2 an(s)|f|f|395|4.80|38|17|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|d72c29d7-cfb7-41ce-abec-424b8577b8a0
102|Fourniture de drone et formation en pilotage de drones Produit 5|fourniture-de-drone-et-formation-en-pilotage-de-drones-produit-5-wh1j|NDYG8QKC|Description de démonstration pour Fourniture de drone et formation en pilotage de drones Produit 5.|Fourniture de drone et formation en pilotage de drones Produit 5 - disponibilité immédiate|863300.00|398622.00|||28|5|disponible|HP|Série 848|3.00|{"couleur":"gris","puissance":"50W","connectivite":"USB-C"}|2 an(s)|f|t|88|3.90|70|17|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|40035eda-e037-4fd8-b801-87392d49af25
103|Ingénierie Produit 1|ingenierie-produit-1-zt4r|KNLQICV6|Description de démonstration pour Ingénierie Produit 1.|Ingénierie Produit 1 - disponibilité immédiate|1183309.00|174772.00|||13|5|disponible|Brother|Série 660|7.00|{"couleur":"blanc","puissance":"48W","connectivite":"USB-C"}|1 an(s)|t|f|289|3.90|18|18|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|e96ce820-571a-4e61-a030-7c14a5aeea95
104|Ingénierie Produit 2|ingenierie-produit-2-fdue|9STJT7IJ|Description de démonstration pour Ingénierie Produit 2.|Ingénierie Produit 2 - disponibilité immédiate|1195049.00||||42|5|disponible|Epson|Série 744|3.00|{"couleur":"noir","puissance":"10W","connectivite":"Ethernet"}|1 an(s)|f|f|453|4.50|31|18|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|b88d312d-58f3-4307-9b0d-2f9f981f42cc
105|Ingénierie Produit 3|ingenierie-produit-3-bqtw|64D2N9BV|Description de démonstration pour Ingénierie Produit 3.|Ingénierie Produit 3 - disponibilité immédiate|594210.00|544195.00|||47|5|disponible|Canon|Série 604|4.00|{"couleur":"gris","puissance":"78W","connectivite":"Ethernet"}|1 an(s)|f|t|300|4.50|21|18|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|5c18de8e-4e44-4fa4-9ccd-3884ee68e8d5
106|Ingénierie Produit 4|ingenierie-produit-4-6nfm|R09QRZJF|Description de démonstration pour Ingénierie Produit 4.|Ingénierie Produit 4 - disponibilité immédiate|383727.00||||20|5|disponible|HP|Série 571|5.00|{"couleur":"noir","puissance":"19W","connectivite":"Wi-Fi"}|2 an(s)|f|t|23|3.70|73|18|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|c7066eca-b603-48f9-80b0-942e150363c4
107|Ingénierie Produit 5|ingenierie-produit-5-qo67|MTQKGTX2|Description de démonstration pour Ingénierie Produit 5.|Ingénierie Produit 5 - disponibilité immédiate|932757.00|637109.00|||37|5|disponible|Lenovo|Série 385|8.00|{"couleur":"blanc","puissance":"69W","connectivite":"Ethernet"}|2 an(s)|f|f|196|4.60|19|18|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|0eae861d-43e2-4bc1-95cf-be58b04c1231
108|Solutions de gestion d'entreprise Produit 1|solutions-de-gestion-dentreprise-produit-1-9vmw|VTQKPOP3|Description de démonstration pour Solutions de gestion d'entreprise Produit 1.|Solutions de gestion d'entreprise Produit 1 - disponibilité immédiate|1040059.00|765418.00|||22|5|disponible|Epson|Série 714|10.00|{"couleur":"noir","puissance":"33W","connectivite":"USB-C"}|3 an(s)|t|f|164|4.50|7|19|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|dacc930a-e58b-4d08-82e2-be3833409932
109|Solutions de gestion d'entreprise Produit 2|solutions-de-gestion-dentreprise-produit-2-gp2j|HJ4RWZ31|Description de démonstration pour Solutions de gestion d'entreprise Produit 2.|Solutions de gestion d'entreprise Produit 2 - disponibilité immédiate|484616.00||||48|5|disponible|Samsung|Série 448|2.00|{"couleur":"blanc","puissance":"33W","connectivite":"Wi-Fi"}|3 an(s)|f|t|478|4.80|21|19|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|45c4096f-3250-40a6-8b16-cf41cd0a56a3
110|Solutions de gestion d'entreprise Produit 3|solutions-de-gestion-dentreprise-produit-3-6d4s|AZLOWVDO|Description de démonstration pour Solutions de gestion d'entreprise Produit 3.|Solutions de gestion d'entreprise Produit 3 - disponibilité immédiate|525924.00|455453.00|||14|5|disponible|DJI|Série 644|1.00|{"couleur":"noir","puissance":"19W","connectivite":"Ethernet"}|2 an(s)|f|t|370|4.10|75|19|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|c07f03e4-14b4-45c2-be92-a30cccaafbf7
111|Solutions de gestion d'entreprise Produit 4|solutions-de-gestion-dentreprise-produit-4-a5s8|3XTFXPDA|Description de démonstration pour Solutions de gestion d'entreprise Produit 4.|Solutions de gestion d'entreprise Produit 4 - disponibilité immédiate|1235012.00|948520.00|||42|5|disponible|Samsung|Série 466|10.00|{"couleur":"blanc","puissance":"56W","connectivite":"Ethernet"}|1 an(s)|f|t|214|4.80|65|19|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|15ac0384-f0c4-4542-bf38-e9f9eecaf1db
112|Solutions de gestion d'entreprise Produit 5|solutions-de-gestion-dentreprise-produit-5-wbqf|CFUAEGCM|Description de démonstration pour Solutions de gestion d'entreprise Produit 5.|Solutions de gestion d'entreprise Produit 5 - disponibilité immédiate|674638.00||||30|5|disponible|DJI|Série 272|2.00|{"couleur":"noir","puissance":"93W","connectivite":"USB-C"}|1 an(s)|f|f|456|4.10|10|19|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|db076b76-2752-452e-be9e-e5b3b8432c9c
113|Fourniture de drone & formation Produit 1|fourniture-de-drone-formation-produit-1-wc0e|FER30WGN|Description de démonstration pour Fourniture de drone & formation Produit 1.|Fourniture de drone & formation Produit 1 - disponibilité immédiate|198315.00||||7|5|disponible|Asus|Série 104|11.00|{"couleur":"blanc","puissance":"13W","connectivite":"Ethernet"}|1 an(s)|t|t|220|4.60|40|20|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|fa9183a9-75ec-49c0-b18e-d56091ab0a90
114|Fourniture de drone & formation Produit 2|fourniture-de-drone-formation-produit-2-pmt5|TSTYSSVC|Description de démonstration pour Fourniture de drone & formation Produit 2.|Fourniture de drone & formation Produit 2 - disponibilité immédiate|1183141.00|708292.00|||12|5|disponible|Epson|Série 919|8.00|{"couleur":"blanc","puissance":"100W","connectivite":"Wi-Fi"}|3 an(s)|f|t|328|4.80|74|20|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|4fc956a2-92d2-407b-aa9f-f207ba76c2cc
115|Fourniture de drone & formation Produit 3|fourniture-de-drone-formation-produit-3-vcwg|XICXVJHG|Description de démonstration pour Fourniture de drone & formation Produit 3.|Fourniture de drone & formation Produit 3 - disponibilité immédiate|1112558.00|243922.00|||41|5|disponible|Brother|Série 350|2.00|{"couleur":"blanc","puissance":"11W","connectivite":"Wi-Fi"}|2 an(s)|f|f|30|4.60|27|20|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|591b0c31-3d20-4d58-a0ad-ccfa04b7092a
116|Fourniture de drone & formation Produit 4|fourniture-de-drone-formation-produit-4-5n9w|0Z1GRQM5|Description de démonstration pour Fourniture de drone & formation Produit 4.|Fourniture de drone & formation Produit 4 - disponibilité immédiate|422395.00||||24|5|disponible|HP|Série 570|6.00|{"couleur":"noir","puissance":"77W","connectivite":"USB-C"}|2 an(s)|f|f|251|3.80|79|20|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|713929ab-4f9e-4ca9-8caa-db9b148c30b3
117|Fourniture de drone & formation Produit 5|fourniture-de-drone-formation-produit-5-o1pg|OG3EO4HD|Description de démonstration pour Fourniture de drone & formation Produit 5.|Fourniture de drone & formation Produit 5 - disponibilité immédiate|1101791.00|1055138.00|||33|5|disponible|Canon|Série 586|4.00|{"couleur":"noir","puissance":"83W","connectivite":"Ethernet"}|3 an(s)|f|f|112|4.80|17|20|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|f31ad675-214f-424d-97b2-b55655c7d46c
120|Fourniture de TPE Produit 3|fourniture-de-tpe-produit-3-gnc3|E39HUNKQ|Description de démonstration pour Fourniture de TPE Produit 3.|Fourniture de TPE Produit 3 - disponibilité immédiate|228114.00|93693.00|||23|5|disponible|DJI|Série 291|9.00|{"couleur":"gris","puissance":"23W","connectivite":"Wi-Fi"}|3 an(s)|f|t|160|4.60|65|21|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|9848f374-73b2-44b7-ac9f-b63fb5f2be03
121|Fourniture de TPE Produit 4|fourniture-de-tpe-produit-4-ox5o|HPFDGMYL|Description de démonstration pour Fourniture de TPE Produit 4.|Fourniture de TPE Produit 4 - disponibilité immédiate|1087656.00|889684.00|||8|5|disponible|Samsung|Série 802|8.00|{"couleur":"blanc","puissance":"79W","connectivite":"USB-C"}|1 an(s)|f|t|407|4.90|59|21|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|9da524a9-9f3a-4aef-a8c7-ca52a882670a
122|Fourniture de TPE Produit 5|fourniture-de-tpe-produit-5-89nr|JHTVXEGB|Description de démonstration pour Fourniture de TPE Produit 5.|Fourniture de TPE Produit 5 - disponibilité immédiate|1155063.00|864753.00|||44|5|disponible|Lenovo|Série 153|11.00|{"couleur":"blanc","puissance":"98W","connectivite":"Wi-Fi"}|3 an(s)|f|t|51|4.20|31|21|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|a48eb86b-42cd-4964-98ce-191482d6a712
123|Inspection Produit 1|inspection-produit-1-qpcr|MK9B1VTY|Description de démonstration pour Inspection Produit 1.|Inspection Produit 1 - disponibilité immédiate|891180.00|283173.00|||6|5|disponible|Epson|Série 800|11.00|{"couleur":"noir","puissance":"120W","connectivite":"Wi-Fi"}|1 an(s)|t|t|435|4.90|3|22|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|209cc083-d50e-4b41-b68a-f997127c1727
124|Inspection Produit 2|inspection-produit-2-gr3x|CEPTJEIV|Description de démonstration pour Inspection Produit 2.|Inspection Produit 2 - disponibilité immédiate|524968.00|111683.00|||34|5|disponible|Asus|Série 208|4.00|{"couleur":"noir","puissance":"14W","connectivite":"USB-C"}|2 an(s)|f|t|500|3.60|53|22|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|91741baa-a1b8-49b1-a5fd-0768f66d3e8e
125|Inspection Produit 3|inspection-produit-3-jhxr|E49E44YE|Description de démonstration pour Inspection Produit 3.|Inspection Produit 3 - disponibilité immédiate|131093.00|121291.00|||9|5|disponible|Canon|Série 802|1.00|{"couleur":"gris","puissance":"66W","connectivite":"USB-C"}|2 an(s)|f|f|185|5.00|13|22|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|b53d9873-a044-45bc-958a-3b6b73b7f354
126|Inspection Produit 4|inspection-produit-4-wgpv|6TWQVG4G|Description de démonstration pour Inspection Produit 4.|Inspection Produit 4 - disponibilité immédiate|597384.00|194786.00|||46|5|disponible|DJI|Série 285|11.00|{"couleur":"gris","puissance":"82W","connectivite":"Ethernet"}|3 an(s)|f|f|123|3.80|22|22|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|c049bc22-6a91-4da1-b0e0-90434f91a285
127|Inspection Produit 5|inspection-produit-5-syyf|6MCIRE4Z|Description de démonstration pour Inspection Produit 5.|Inspection Produit 5 - disponibilité immédiate|1055066.00||||28|5|disponible|Epson|Série 273|11.00|{"couleur":"noir","puissance":"35W","connectivite":"Wi-Fi"}|3 an(s)|f|t|451|4.50|21|22|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|80572705-487f-446d-95ea-407ec72854fa
