id_produit,titre,slug,reference,description,description_courte,prix,prix_promo,promo_debut,promo_fin,stock,stock_alerte,statut,marque,modele,poids,specifications,garantie,est_en_vedette,est_nouveau,vues,note_moyenne,nombre_avis,id_categorie,id_pays,id_utilisateur,date_creation,created_at,updated_at,deleted_at,en_promo,uuid,segment
88,Detecteur d'humidite Honeywell WLD2,detecteur-dhumidite-honeywell-wld2-36-2,CAT-36-02,Produit de demonstration pour la sous-categorie Detecteur d'humidite.,Detecteur d'humidite - modele Honeywell WLD2,1394221.00,,,,8,3,disponible,Huawei,Honeywell WLD2,26.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Detecteur d'humidite"",""series"":""Honeywell WLD2""},""tags"":[""demo"",""catalogue"",""detecteur-dhumidite""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,95,0.00,0,36,1,1,2026-04-07 16:34:33,,,,f,80a4da4d-1075-4a7b-9d07-fd0ba34c8d43,general
89,Detecteur d'humidite Fibaro Flood Sensor,detecteur-dhumidite-fibaro-flood-sensor-36-3,CAT-36-03,Produit de demonstration pour la sous-categorie Detecteur d'humidite.,Detecteur d'humidite - modele Fibaro Flood Sensor,2410284.00,,,,10,3,disponible,ZKTeco,Fibaro Flood Sensor,2.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Detecteur d'humidite"",""series"":""Fibaro Flood Sensor""},""tags"":[""demo"",""catalogue"",""detecteur-dhumidite""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,104,0.00,0,36,1,1,2026-04-07 16:34:33,,,,f,3e626118-1fc6-4a8c-bbee-9399ff34014a,general
90,Sirene Bosch FNM-420-A-BS,sirene-bosch-fnm-420-a-bs-37-1,CAT-37-01,Produit de demonstration pour la sous-categorie Sirene.,Sirene - modele Bosch FNM-420-A-BS,619398.00,,,,13,3,disponible,ISD,Bosch FNM-420-A-BS,7.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Sirene"",""series"":""Bosch FNM-420-A-BS""},""tags"":[""demo"",""catalogue"",""sirene""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,13,0.00,0,37,1,1,2026-04-07 16:34:33,,,,f,68a80dda-0153-4c98-bf29-ec56a009e47f,general
91,Sirene Honeywell WSS-PC-I02,sirene-honeywell-wss-pc-i02-37-2,CAT-37-02,Produit de demonstration pour la sous-categorie Sirene.,Sirene - modele Honeywell WSS-PC-I02,1641294.00,,,,4,3,disponible,MikroTik,Honeywell WSS-PC-I02,30.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Sirene"",""series"":""Honeywell WSS-PC-I02""},""tags"":[""demo"",""catalogue"",""sirene""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,52,0.00,0,37,1,1,2026-04-07 16:34:33,,,,f,07ddae17-6ad8-4f06-8530-32f920d769e5,general
92,Sirene Ajax StreetSiren,sirene-ajax-streetsiren-37-3,CAT-37-03,Produit de demonstration pour la sous-categorie Sirene.,Sirene - modele Ajax StreetSiren,438402.00,,,,12,3,disponible,Dell,Ajax StreetSiren,3.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Sirene"",""series"":""Ajax StreetSiren""},""tags"":[""demo"",""catalogue"",""sirene""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,120,0.00,0,37,1,1,2026-04-07 16:34:34,,,,f,7e52e775-ab8d-4ffc-b2a4-be1f44bbd675,general
93,Autocom Grandstream UCM6302A,autocom-grandstream-ucm6302a-39-1,CAT-39-01,Produit de demonstration pour la sous-categorie Autocom.,Autocom - modele Grandstream UCM6302A,1758311.00,,,,10,3,disponible,ZKTeco,Grandstream UCM6302A,6.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Autocom"",""series"":""Grandstream UCM6302A""},""tags"":[""demo"",""catalogue"",""autocom""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,29,0.00,0,39,1,1,2026-04-07 16:34:34,,,,f,4e6bfaaa-1685-4b73-a726-d990a86c04d4,general
94,Autocom Panasonic KX-NS500,autocom-panasonic-kx-ns500-39-2,CAT-39-02,Produit de demonstration pour la sous-categorie Autocom.,Autocom - modele Panasonic KX-NS500,788930.00,,,,21,3,disponible,HP,Panasonic KX-NS500,5.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Autocom"",""series"":""Panasonic KX-NS500""},""tags"":[""demo"",""catalogue"",""autocom""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,63,0.00,0,39,1,1,2026-04-07 16:34:34,,,,f,3fbec510-5186-43f9-80f8-f1c783bb47df,general
95,Autocom Yeastar S100,autocom-yeastar-s100-39-3,CAT-39-03,Produit de demonstration pour la sous-categorie Autocom.,Autocom - modele Yeastar S100,1227167.00,,,,6,3,disponible,DJI,Yeastar S100,9.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Autocom"",""series"":""Yeastar S100""},""tags"":[""demo"",""catalogue"",""autocom""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,103,0.00,0,39,1,1,2026-04-07 16:34:34,,,,f,1e14da51-3d41-4579-8a3b-34a0eb7d9787,general
96,Telephone IP Yealink SIP-T54W,telephone-ip-yealink-sip-t54w-40-1,CAT-40-01,Produit de demonstration pour la sous-categorie Telephone IP.,Telephone IP - modele Yealink SIP-T54W,1345031.00,,,,8,3,disponible,ZKTeco,Yealink SIP-T54W,23.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Telephone IP"",""series"":""Yealink SIP-T54W""},""tags"":[""demo"",""catalogue"",""telephone-ip""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,67,0.00,0,40,1,1,2026-04-07 16:34:34,,,,f,99db8241-815d-4bd5-8508-8fa8d4b6173a,general
97,Telephone IP Cisco 8841,telephone-ip-cisco-8841-40-2,CAT-40-02,Produit de demonstration pour la sous-categorie Telephone IP.,Telephone IP - modele Cisco 8841,1485574.00,,,,7,3,disponible,HP,Cisco 8841,24.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Telephone IP"",""series"":""Cisco 8841""},""tags"":[""demo"",""catalogue"",""telephone-ip""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,86,0.00,0,40,1,1,2026-04-07 16:34:34,,,,f,7ab80357-bb66-441e-b747-ce31ba5e2fb6,general
98,Telephone IP Grandstream GXP2170,telephone-ip-grandstream-gxp2170-40-3,CAT-40-03,Produit de demonstration pour la sous-categorie Telephone IP.,Telephone IP - modele Grandstream GXP2170,1256374.00,,,,7,3,disponible,HP,Grandstream GXP2170,22.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Telephone IP"",""series"":""Grandstream GXP2170""},""tags"":[""demo"",""catalogue"",""telephone-ip""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,35,0.00,0,40,1,1,2026-04-07 16:34:34,,,,f,84b1d45c-71f6-4ec5-90d0-2f42e3a57816,general
99,Passerelle VoIP Grandstream GXW4108,passerelle-voip-grandstream-gxw4108-41-1,CAT-41-01,Produit de demonstration pour la sous-categorie Passerelle VoIP.,Passerelle VoIP - modele Grandstream GXW4108,1462306.00,,,,7,3,disponible,Cisco,Grandstream GXW4108,11.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Passerelle VoIP"",""series"":""Grandstream GXW4108""},""tags"":[""demo"",""catalogue"",""passerelle-voip""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,118,0.00,0,41,1,1,2026-04-07 16:34:34,,,,f,ffeb9a2f-0f43-4ce6-be4b-909dcb0ae4a1,general
100,Passerelle VoIP Cisco ATA191,passerelle-voip-cisco-ata191-41-2,CAT-41-02,Produit de demonstration pour la sous-categorie Passerelle VoIP.,Passerelle VoIP - modele Cisco ATA191,1217841.00,,,,16,3,disponible,ISD,Cisco ATA191,2.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Passerelle VoIP"",""series"":""Cisco ATA191""},""tags"":[""demo"",""catalogue"",""passerelle-voip""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,105,0.00,0,41,1,1,2026-04-07 16:34:34,,,,f,9c66a7ff-afa5-4350-ad7f-5de644c0dfc4,general
101,Passerelle VoIP Yeastar TG200,passerelle-voip-yeastar-tg200-41-3,CAT-41-03,Produit de demonstration pour la sous-categorie Passerelle VoIP.,Passerelle VoIP - modele Yeastar TG200,2812448.00,,,,10,3,disponible,Dell,Yeastar TG200,9.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Passerelle VoIP"",""series"":""Yeastar TG200""},""tags"":[""demo"",""catalogue"",""passerelle-voip""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,31,0.00,0,41,1,1,2026-04-07 16:34:34,,,,f,5b560a83-cc65-4749-a419-a7d5c8acab0e,general
102,Routeur 4G/5G Teltonika RUTX50,routeur-4g5g-teltonika-rutx50-42-1,CAT-42-01,Produit de demonstration pour la sous-categorie Routeur 4G/5G.,Routeur 4G/5G - modele Teltonika RUTX50,3232363.00,,,,11,3,disponible,ZKTeco,Teltonika RUTX50,25.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Routeur 4G\/5G"",""series"":""Teltonika RUTX50""},""tags"":[""demo"",""catalogue"",""routeur-4g5g""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,28,0.00,0,42,1,1,2026-04-07 16:34:34,,,,f,68a3e7df-f01e-4037-9cef-14eb71e0f746,general
103,Routeur 4G/5G Huawei AR502H,routeur-4g5g-huawei-ar502h-42-2,CAT-42-02,Produit de demonstration pour la sous-categorie Routeur 4G/5G.,Routeur 4G/5G - modele Huawei AR502H,1052830.00,,,,8,3,disponible,Huawei,Huawei AR502H,6.00,"{""tags"":[""demo"",""catalogue"",""routeur-4g5g""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,38,0.00,0,42,1,1,2026-04-07 16:34:34,,,,f,5e0d04e3-4908-47c2-be23-46029c348b64,general
104,Routeur 4G/5G Peplink MAX BR1 Pro 5G,routeur-4g5g-peplink-max-br1-pro-5g-42-3,CAT-42-03,Produit de demonstration pour la sous-categorie Routeur 4G/5G.,Routeur 4G/5G - modele Peplink MAX BR1 Pro 5G,1101874.00,,,,23,3,disponible,DJI,Peplink MAX BR1 Pro 5G,30.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Telecommunications"",""subcategory"":""Routeur 4G\/5G"",""series"":""Peplink MAX BR1 Pro 5G""},""tags"":[""demo"",""catalogue"",""routeur-4g5g""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,49,0.00,0,42,1,1,2026-04-07 16:34:34,,,,f,8a86bd86-f4fe-4c26-9d69-3682a76063bf,general
105,Antivirus / EDR Kaspersky Endpoint Security,antivirus-edr-kaspersky-endpoint-security-44-1,CAT-44-01,Produit de demonstration pour la sous-categorie Antivirus / EDR.,Antivirus / EDR - modele Kaspersky Endpoint Security,2608076.00,,,,13,3,disponible,APC,Kaspersky Endpoint Security,3.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Antivirus \/ EDR"",""series"":""Kaspersky Endpoint Security""},""tags"":[""demo"",""catalogue"",""antivirus-edr""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,54,0.00,0,44,1,1,2026-04-07 16:34:34,,,,f,21fa45ec-0dcd-4c56-ad62-72fb314f29f2,general
106,Antivirus / EDR Bitdefender GravityZone,antivirus-edr-bitdefender-gravityzone-44-2,CAT-44-02,Produit de demonstration pour la sous-categorie Antivirus / EDR.,Antivirus / EDR - modele Bitdefender GravityZone,260980.00,,,,15,3,disponible,ZKTeco,Bitdefender GravityZone,5.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Antivirus \/ EDR"",""series"":""Bitdefender GravityZone""},""tags"":[""demo"",""catalogue"",""antivirus-edr""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,46,0.00,0,44,1,1,2026-04-07 16:34:34,,,,f,f7eb0148-7d5d-4da3-8f1d-1641429c7593,general
107,Antivirus / EDR Microsoft Defender for Endpoint,antivirus-edr-microsoft-defender-for-endpoint-44-3,CAT-44-03,Produit de demonstration pour la sous-categorie Antivirus / EDR.,Antivirus / EDR - modele Microsoft Defender for Endpoint,3090561.00,,,,14,3,disponible,ZKTeco,Microsoft Defender for Endpoint,6.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Antivirus \/ EDR"",""series"":""Microsoft Defender for Endpoint""},""tags"":[""demo"",""catalogue"",""antivirus-edr""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,64,0.00,0,44,1,1,2026-04-07 16:34:34,,,,f,d275a8c0-e14b-43da-ab26-5a9a4867d9cf,general
108,SIEM / SOC Splunk Enterprise Security,siem-soc-splunk-enterprise-security-45-1,CAT-45-01,Produit de demonstration pour la sous-categorie SIEM / SOC.,SIEM / SOC - modele Splunk Enterprise Security,627239.00,,,,22,3,disponible,MikroTik,Splunk Enterprise Security,16.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""SIEM \/ SOC"",""series"":""Splunk Enterprise Security""},""tags"":[""demo"",""catalogue"",""siem-soc""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,33,0.00,0,45,1,1,2026-04-07 16:34:34,,,,f,2478b832-f4da-40c6-b987-4a4fa6d8db3d,general
109,SIEM / SOC IBM QRadar SIEM,siem-soc-ibm-qradar-siem-45-2,CAT-45-02,Produit de demonstration pour la sous-categorie SIEM / SOC.,SIEM / SOC - modele IBM QRadar SIEM,688349.00,,,,5,3,disponible,ZKTeco,IBM QRadar SIEM,4.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""SIEM \/ SOC"",""series"":""IBM QRadar SIEM""},""tags"":[""demo"",""catalogue"",""siem-soc""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,80,0.00,0,45,1,1,2026-04-07 16:34:34,,,,f,80669386-1632-4ec2-87a2-10fcad5ebb3b,general
110,SIEM / SOC Elastic Security,siem-soc-elastic-security-45-3,CAT-45-03,Produit de demonstration pour la sous-categorie SIEM / SOC.,SIEM / SOC - modele Elastic Security,1837674.00,,,,16,3,disponible,Cisco,Elastic Security,21.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""SIEM \/ SOC"",""series"":""Elastic Security""},""tags"":[""demo"",""catalogue"",""siem-soc""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,114,0.00,0,45,1,1,2026-04-07 16:34:34,,,,f,3b264d3b-0a21-4e3a-a33f-31a3ff16a25b,general
111,Sauvegarde base de donnees Veeam Backup & Replication,sauvegarde-base-de-donnees-veeam-backup-replication-46-1,CAT-46-01,Produit de demonstration pour la sous-categorie Sauvegarde base de donnees.,Sauvegarde base de donnees - modele Veeam Backup & Replication,922263.00,,,,28,3,disponible,ISD,Veeam Backup & Replication,2.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Sauvegarde base de donnees"",""series"":""Veeam Backup & Replication""},""tags"":[""demo"",""catalogue"",""sauvegarde-base-de-donnees""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,85,0.00,0,46,1,1,2026-04-07 16:34:34,,,,f,f89aacf5-13c9-4bbf-a8ba-24d8667cb340,general
112,Sauvegarde base de donnees Acronis Cyber Protect,sauvegarde-base-de-donnees-acronis-cyber-protect-46-2,CAT-46-02,Produit de demonstration pour la sous-categorie Sauvegarde base de donnees.,Sauvegarde base de donnees - modele Acronis Cyber Protect,2034505.00,,,,24,3,disponible,Cisco,Acronis Cyber Protect,7.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Sauvegarde base de donnees"",""series"":""Acronis Cyber Protect""},""tags"":[""demo"",""catalogue"",""sauvegarde-base-de-donnees""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,103,0.00,0,46,1,1,2026-04-07 16:34:34,,,,f,bad55ccd-fe0c-47ef-be82-21c799caaae1,general
113,Sauvegarde base de donnees Commvault Complete,sauvegarde-base-de-donnees-commvault-complete-46-3,CAT-46-03,Produit de demonstration pour la sous-categorie Sauvegarde base de donnees.,Sauvegarde base de donnees - modele Commvault Complete,2522002.00,,,,21,3,disponible,Huawei,Commvault Complete,1.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Sauvegarde base de donnees"",""series"":""Commvault Complete""},""tags"":[""demo"",""catalogue"",""sauvegarde-base-de-donnees""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,64,0.00,0,46,1,1,2026-04-07 16:34:34,,,,f,3908ab44-7a9d-443a-9f2d-33730f76fa57,general
114,Pare-feu applicatif et BDD Imperva SecureSphere,pare-feu-applicatif-et-bdd-imperva-securesphere-47-1,CAT-47-01,Produit de demonstration pour la sous-categorie Pare-feu applicatif et BDD.,Pare-feu applicatif et BDD - modele Imperva SecureSphere,1422742.00,,,,15,3,disponible,MikroTik,Imperva SecureSphere,1.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Pare-feu applicatif et BDD"",""series"":""Imperva SecureSphere""},""tags"":[""demo"",""catalogue"",""pare-feu-applicatif-et-bdd""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,59,0.00,0,47,1,1,2026-04-07 16:34:34,,,,f,f77bddeb-f421-4c17-930e-127cbbab50dc,general
115,Pare-feu applicatif et BDD F5 Advanced WAF,pare-feu-applicatif-et-bdd-f5-advanced-waf-47-2,CAT-47-02,Produit de demonstration pour la sous-categorie Pare-feu applicatif et BDD.,Pare-feu applicatif et BDD - modele F5 Advanced WAF,464411.00,,,,22,3,disponible,DJI,F5 Advanced WAF,21.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Securite informatique et base de donnees"",""subcategory"":""Pare-feu applicatif et BDD"",""series"":""F5 Advanced WAF""},""tags"":[""demo"",""catalogue"",""pare-feu-applicatif-et-bdd""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,65,0.00,0,47,1,1,2026-04-07 16:34:34,,,,f,a287262f-1e93-4ab5-925c-20c5f7bf8382,general
